老证精装房、小区环境好 近地铁 楼层好，,泛海国际悦海园 ,泛海国际悦海园 ,2室2厅,88.98,南 北,精装,高楼层(共32层)2014年建板楼,CBD西北湖,2750000.0,30906,https://wh.lianjia.com/ershoufang/104102766640.html
美联联邦生活区二期城仕 3室2厅 225万,美联联邦生活区二期城仕 ,美联联邦生活区二期城仕 ,3室2厅,115,南,毛坯,中楼层(共34层)2018年建板塔结合,塔子湖,2250000.0,19566,https://wh.lianjia.com/ershoufang/104102515794.html
徐东百货，二环内四房，配套齐全，楼层高，视野好,欧景苑二期 ,欧景苑二期 ,4室2厅,136.42,东 西,简装,高楼层(共8层)2004年建板楼,杨园,1850000.0,13562,https://wh.lianjia.com/ershoufang/104101877993.html
尚德里 1室1厅 72万,尚德里 ,尚德里 ,1室1厅,39.44,南,简装,中楼层(共8层)1998年建板楼,大智路,720000.0,18256,https://wh.lianjia.com/ershoufang/104101681146.html
名流人和天地 毛坯大两房 中高楼层 业主诚心出售,名流人和天地五期 ,名流人和天地五期 ,2室2厅,91.87,南 北,毛坯,中楼层(共32层)2012年建板楼,盘龙城,920000.0,10015,https://wh.lianjia.com/ershoufang/104101505414.html
精装小两房   老证   即买即住,纽宾凯汉city国际社区蜜城 ,纽宾凯汉city国际社区蜜城 ,2室1厅,55.25,南,精装,低楼层(共34层)2016年建板塔结合,四新,1150000.0,20815,https://wh.lianjia.com/ershoufang/104102664892.html
百步亭中间地段，交通便利楼层采光好，老证,温馨苑AB区 ,温馨苑AB区 ,3室2厅,112.94,南,简装,中楼层(共7层)2005年建板楼,百步亭,1750000.0,15495,https://wh.lianjia.com/ershoufang/104102475534.html
福星惠誉红桥城 大三房两厅两卫 户型方正 采光视野好,福星惠誉红桥城 ,福星惠誉红桥城 ,3室2厅,117.84,南 北,精装,低楼层(共38层)2016年建板塔结合,堤角,2000000.0,16973,https://wh.lianjia.com/ershoufang/104101713908.html
百步亭，满五唯一，中间楼层，上学方便，房屋整洁！,温馨苑CD区 ,温馨苑CD区 ,2室2厅,92.06,南 北,精装,低楼层(共7层)2005年建板塔结合,百步亭,1450000.0,15751,https://wh.lianjia.com/ershoufang/104102766442.html
梅苑地铁口 梅苑一居室 全明户型 交通便利,梅苑小区一期 ,梅苑小区一期 ,1室1厅,59.77,南,精装,高楼层(共7层)1994年建板楼,武昌火车站,1250000.0,20914,https://wh.lianjia.com/ershoufang/104102708520.html
